"ecoregion_id","ecoregion","realm","biome"
"AA0106","Halmahera rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0107","Huon Peninsula montane rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0105","Central Range montane rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0102","Banda Sea Islands moist deciduous forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0103","Biak-Numfoor rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0104","Buru rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0118","Seram rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0119","Solomon Islands rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0120","Southeastern Papuan rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0121","Southern New Guinea freshwater swamp forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0122","Southern New Guinea lowland rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0123","Sulawesi lowland rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0124","Sulawesi montane rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0125","Trobriand Islands rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0126","Vanuatu rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0101","Admiralty Islands lowland rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0128","Vogelkop-Aru lowland rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"NT0178","Western Ecuador moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0179","Windward Islands moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0180","Xingu-Tocantins-Araguaia moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"AT0101","Albertine Rift montane forests","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0102","Atlantic Equatorial coastal forests","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0103","Cameroonian Highlands forests","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0104","Central Congolian lowland forests","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0105","Comoros forests","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0106","Cross-Niger transition forests","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0107","Cross-Sanaga-Bioko coastal forests","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0108","East African montane forests","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0109","Eastern Arc forests","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0110","Eastern Congolian swamp forests","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0111","Eastern Guinean forests","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0112","Ethiopian montane forests","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0113","Granitic Seychelles forests","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"IM0141","Northern Vietnam lowland rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0142","Orissa semi-evergreen forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0143","Palawan rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"AA0108","Yapen rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0109","Lord Howe Island subtropical forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0110","Louisiade Archipelago rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0111","New Britain-New Ireland lowland rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0112","New Britain-New Ireland montane rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0113","New Caledonia rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0114","Norfolk Island subtropical forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0115","Northern New Guinea lowland rain and freshwater swamp forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0116","Northern New Guinea montane rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0117","Queensland tropical rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"IM0154","Sri Lanka lowland rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0155","Sri Lanka montane rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0156","Sulu Archipelago rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0157","Sumatran freshwater swamp forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0158","Sumatran lowland rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0159","Sumatran montane rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0160","Sumatran peat swamp forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0161","Sundaland heath forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0122","Luzon montane rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"AA0127","Vogelkop montane rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"IM0124","Malabar Coast moist forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0125","Maldives-Lakshadweep-Chagos Archipelago tropical moist forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0126","Meghalaya subtropical forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0127","Mentawai Islands rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0115","Himalayan subtropical broadleaf forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"NT0101","Araucaria moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0102","Atlantic Coast restingas","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0103","Bahia coastal forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0104","Bahia interior forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0105","Bolivian Yungas","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0107","Caqueta moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0108","Catatumbo moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0109","Cauca Valley montane forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0110","Cayos Miskitos-San AndrΘs and Providencia moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0111","Central American Atlantic moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0112","Central American montane forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0113","Chiapas montane forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0114","Chimalapas montane forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0115","Choc≤-DariΘn moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0116","Cocos Island moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0117","Cordillera La Costa montane forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0118","Cordillera Oriental montane forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"IM0101","Andaman Islands rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0108","Chao Phraya lowland moist deciduous forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0109","Chin Hills-Arakan Yoma montane forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0110","Christmas and Cocos Islands tropical forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0111","Eastern highlands moist deciduous forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0112","Eastern Java-Bali montane rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0113","Eastern Java-Bali rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0114","Greater Negros-Panay rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0102","Borneo lowland rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0103","Borneo montane rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0104","Borneo peat swamp forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0105","Brahmaputra Valley semi-evergreen forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0106","Cardamom Mountains rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0107","Chao Phraya freshwater swamp forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0121","Luang Prabang montane rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"NT0174","Ucayali moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0175","Venezuelan Andes montane forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0176","Veracruz moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0177","Veracruz montane forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0137","Magdalena-Urabß moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0138","Maraj≤ varzea","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0139","Maranhao Babaτu forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"IM0116","Irrawaddy freshwater swamp forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0117","Irrawaddy moist deciduous forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0118","Jian Nan subtropical evergreen forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0119","Kayah-Karen montane rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0120","Lower Gangetic Plains moist deciduous forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0162","Sundarbans freshwater swamp forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0163","Tenasserim-South Thailand semi-evergreen rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0164","Tonle Sap freshwater swamp forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0165","Tonle Sap-Mekong peat swamp forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0166","Upper Gangetic Plains moist deciduous forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0167","Western Java montane rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0168","Western Java rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0169","Hainan Island monsoon rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"AT0114","Guinean montane forests","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0115","Knysna-Amatole montane forests","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0116","KwaZulu-Cape coastal forest mosaic","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0117","Madagascar lowland forests","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0118","Madagascar subhumid forests","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0119","Maputaland coastal forest mosaic","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0120","Mascarene forests","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0121","Mount Cameroon and Bioko montane forests","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0122","Niger Delta swamp forests","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0123","Nigerian lowland forests","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0124","Northeastern Congolian lowland forests","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0125","Northern Zanzibar-Inhambane coastal forest mosaic","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0126","Northwestern Congolian lowland forests","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0127","Sao Tome, Principe and Annobon moist lowland forests","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0128","Southern Zanzibar-Inhambane coastal forest mosaic","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0129","Western Congolian swamp forests","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"AT0130","Western Guinean lowland forests","Afrotropics","Tropical and Subtropical Moist Broadleaf Forests"
"NT0171","Trinidad and Tobago moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0173","Uatuma-Trombetas moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0133","Juruß-Purus moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0134","Leeward Islands moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"IM0123","Luzon rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"NT0136","Magdalena Valley montane forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"IM0138","Northern Khorat Plateau moist deciduous forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0139","Northern Thailand-Laos moist deciduous forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0140","Northern Triangle subtropical forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0128","Mindanao montane rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0129","Mindanao-Eastern Visayas rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0130","Mindoro rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0131","Mizoram-Manipur-Kachin rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0132","Myanmar coastal rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0133","Nicobar Islands rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0134","North Western Ghats moist deciduous forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0135","North Western Ghats montane rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0136","Northern Annamites rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0137","Northern Indochina subtropical forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0151","South Western Ghats montane rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0152","Southern Annamites montane rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0153","Southwest Borneo freshwater swamp forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"NT0153","Peruvian Yungas","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"IM0170","Nansei Islands subtropical evergreen forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0171","South Taiwan monsoon rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0144","Peninsular Malaysian montane rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0145","Peninsular Malaysian peat swamp forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0146","Peninsular Malaysian rain forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0147","Red River freshwater swamp forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0148","South China Sea Islands","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0149","South China-Vietnam subtropical evergreen forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"IM0150","South Western Ghats moist deciduous forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"NT0135","Madeira-Tapaj≤s moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0150","Alto Paranß Atlantic forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0151","Pernambuco coastal forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0126","Gurupa varzea","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0127","Hispaniolan moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0128","Iquitos varzea","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0129","Isthmian-Atlantic moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0130","Isthmian-Pacific moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0131","Jamaican moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0132","Japurß-Solimoes-Negro moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"OC0115","Tuamotu tropical moist forests","Oceania","Tropical and Subtropical Moist Broadleaf Forests"
"OC0116","Tubuai tropical moist forests","Oceania","Tropical and Subtropical Moist Broadleaf Forests"
"OC0117","Western Polynesian tropical moist forests","Oceania","Tropical and Subtropical Moist Broadleaf Forests"
"NT0149","Guianan Freshwater swamp forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0123","Fernando de Noronha-Atol das Rocas moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0124","Guianan Highlands moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0152","Pernambuco interior forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0140","Mato Grosso seasonal forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0141","Monte Alegre varzea","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0142","Napo moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0143","Negro-Branco moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0144","Northeastern Brazil restingas","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0145","Northwestern Andean montane forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0146","Oaxacan montane forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0147","Orinoco Delta swamp forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0148","Pantanos de Centla","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0122","Eastern Panamanian montane forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0162","Sierra Madre de Chiapas moist forest","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0163","Solimoes-Japurß moist forest","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0125","Guianan moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0166","Southwest Amazon moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0167","Talamancan montane forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0154","PetΘn-Veracruz moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"IM0172","Taiwan subtropical evergreen forests","Indo-Malay","Tropical and Subtropical Moist Broadleaf Forests"
"NT0157","Purus-Madeira moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0158","Rio Negro campinarana","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0119","Costa Rican seasonal moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0120","Cuban moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0121","Eastern Cordillera real montane forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0161","Sierra de los Tuxtlas","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"OC0102","Central Polynesian tropical moist forests","Oceania","Tropical and Subtropical Moist Broadleaf Forests"
"OC0103","Cook Islands tropical moist forests","Oceania","Tropical and Subtropical Moist Broadleaf Forests"
"NT0164","South Florida rocklands","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0165","Southern Andean Yungas","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"OC0107","Kermadec Islands subtropical moist forests","Oceania","Tropical and Subtropical Moist Broadleaf Forests"
"NT0168","Tapaj≤s-Xingu moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0169","Pantepuis","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0170","Tocantins/Pindare moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"OC0113","Society Islands tropical moist forests","Oceania","Tropical and Subtropical Moist Broadleaf Forests"
"OC0114","Tongan tropical moist forests","Oceania","Tropical and Subtropical Moist Broadleaf Forests"
"NT0159","Santa Marta montane forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0160","Serra do Mar coastal forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"OC0101","Carolines tropical moist forests","Oceania","Tropical and Subtropical Moist Broadleaf Forests"
"OC0106","Hawaii tropical moist forests","Oceania","Tropical and Subtropical Moist Broadleaf Forests"
"NT0181","Yucatßn moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"OC0104","Eastern Micronesia tropical moist forests","Oceania","Tropical and Subtropical Moist Broadleaf Forests"
"OC0105","Fiji tropical moist forests","Oceania","Tropical and Subtropical Moist Broadleaf Forests"
"PA0102","Yunnan Plateau subtropical evergreen forests","Palaearctic","Tropical and Subtropical Moist Broadleaf Forests"
"OC0112","Samoan tropical moist forests","Oceania","Tropical and Subtropical Moist Broadleaf Forests"
"PA0101","Guizhou Plateau broadleaf and mixed forests","Palaearctic","Tropical and Subtropical Moist Broadleaf Forests"
"NT0155","Puerto Rican moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0156","Purus varzea","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"OC0108","Marquesas tropical moist forests","Oceania","Tropical and Subtropical Moist Broadleaf Forests"
"OC0109","Ogasawara subtropical moist forests","Oceania","Tropical and Subtropical Moist Broadleaf Forests"
"OC0110","Palau tropical moist forests","Oceania","Tropical and Subtropical Moist Broadleaf Forests"
"OC0111","Rapa Nui subtropical broadleaf forests","Oceania","Tropical and Subtropical Moist Broadleaf Forests"
"AA0202","New Caledonia dry forests","Australasia","Tropical and Subtropical Dry Broadleaf Forests"
"AT0203","Zambezian Cryptosepalum dry forests","Afrotropics","Tropical and Subtropical Dry Broadleaf Forests"
"AA0201","Lesser Sundas deciduous forests","Australasia","Tropical and Subtropical Dry Broadleaf Forests"
"AA0203","Sumba deciduous forests","Australasia","Tropical and Subtropical Dry Broadleaf Forests"
"AT0202","Madagascar dry deciduous forests","Afrotropics","Tropical and Subtropical Dry Broadleaf Forests"
"OC0204","Yap tropical dry forests","Oceania","Tropical and Subtropical Dry Broadleaf Forests"
"NT0214","Ecuadorian dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"OC0202","Hawaii tropical dry forests","Oceania","Tropical and Subtropical Dry Broadleaf Forests"
"OC0203","Marianas tropical dry forests","Oceania","Tropical and Subtropical Dry Broadleaf Forests"
"NT0205","Balsas dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"NT0206","Bolivian montane dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"NT0215","Hispaniolan dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"NT0204","Bajφo dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
