"ecoregion_id","ecoregion","realm","biome"
"NT0210","Dry Chaco","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"NT0211","Chiapas Depression dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"NT0207","Cauca Valley dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"OC0201","Fiji tropical dry forests","Oceania","Tropical and Subtropical Dry Broadleaf Forests"
"NT0227","Sierra de la Laguna dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"NT0216","Islas Revillagigedo dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"NT0212","Chiquitano dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"NT0213","Cuban dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"NT0218","Jamaican dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"NT0235","Yucatßn dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"NT0219","Lara-Falc≤n dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"IM0202","Central Indochina dry forests","Indo-Malay","Tropical and Subtropical Dry Broadleaf Forests"
"NT0209","Central American dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"NT0221","Magdalena Valley dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"NT0222","Maracaibo dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"NT0223","Mara±≤n dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"NT0224","Panamanian dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"NT0225","Patφa Valley dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"NT0228","Sinaloan dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"AA0204","Timor and Wetar deciduous forests","Australasia","Tropical and Subtropical Dry Broadleaf Forests"
"NT0230","Southern Pacific dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"NA0201","Sonoran-Sinaloan transition subtropical dry forest","Nearctic","Tropical and Subtropical Dry Broadleaf Forests"
"NT0202","Atlantic dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"AT0201","Cape Verde Islands dry forests","Afrotropics","Tropical and Subtropical Dry Broadleaf Forests"
"IM0204","East Deccan dry-evergreen forests","Indo-Malay","Tropical and Subtropical Dry Broadleaf Forests"
"NT0220","Lesser Antillean dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"IM0206","Khathiar-Gir dry deciduous forests","Indo-Malay","Tropical and Subtropical Dry Broadleaf Forests"
"IM0203","Chhota-Nagpur dry deciduous forests","Indo-Malay","Tropical and Subtropical Dry Broadleaf Forests"
"NT0229","Sin· Valley dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"IM0205","Irrawaddy dry forests","Indo-Malay","Tropical and Subtropical Dry Broadleaf Forests"
"NT0217","Jalisco dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"NT0226","Puerto Rican dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"IM0207","Narmada Valley dry deciduous forests","Indo-Malay","Tropical and Subtropical Dry Broadleaf Forests"
"IM0210","Southeastern Indochina dry evergreen forests","Indo-Malay","Tropical and Subtropical Dry Broadleaf Forests"
"IM0208","Northern dry deciduous forests","Indo-Malay","Tropical and Subtropical Dry Broadleaf Forests"
"IM0201","Central Deccan Plateau dry deciduous forests","Indo-Malay","Tropical and Subtropical Dry Broadleaf Forests"
"NT0233","Veracruz dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"IM0209","South Deccan Plateau dry deciduous forests","Indo-Malay","Tropical and Subtropical Dry Broadleaf Forests"
"IM0212","Sri Lanka dry-zone dry evergreen forests","Indo-Malay","Tropical and Subtropical Dry Broadleaf Forests"
"NT0232","Tumbes-Piura dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"IM0211","Southern Vietnam lowland dry forests","Indo-Malay","Tropical and Subtropical Dry Broadleaf Forests"
"NT0201","Apure-Villavicencio dry forests","Neotropical","Tropical and Subtropical Dry Broadleaf Forests"
"IM0301","Himalayan subtropical pine forests","Indo-Malay","Tropical and Subtropical Coniferous Forests"
"NT0304","Cuban pine forests","Neotropical","Tropical and Subtropical Coniferous Forests"
"NT0303","Central American pine-oak forests","Neotropical","Tropical and Subtropical Coniferous Forests"
"NT0307","Sierra de la Laguna pine-oak forests","Neotropical","Tropical and Subtropical Coniferous Forests"
"NT0310","Trans-Mexican Volcanic Belt pine-oak forests","Neotropical","Tropical and Subtropical Coniferous Forests"
"IM0302","Luzon tropical pine forests","Indo-Malay","Tropical and Subtropical Coniferous Forests"
"IM0303","Northeast India-Myanmar pine forests","Indo-Malay","Tropical and Subtropical Coniferous Forests"
"NT0309","Sierra Madre del Sur pine-oak forests","Neotropical","Tropical and Subtropical Coniferous Forests"
"NT0301","Bahamian pine mosaic","Neotropical","Tropical and Subtropical Coniferous Forests"
"NT0302","Belizean pine forests","Neotropical","Tropical and Subtropical Coniferous Forests"
"NT0308","Sierra Madre de Oaxaca pine-oak forests","Neotropical","Tropical and Subtropical Coniferous Forests"
"NT0305","Hispaniolan pine forests","Neotropical","Tropical and Subtropical Coniferous Forests"
"NA0301","Bermuda subtropical conifer forests","Nearctic","Tropical and Subtropical Coniferous Forests"
"NA0302","Sierra Madre Occidental pine-oak forests","Nearctic","Tropical and Subtropical Coniferous Forests"
"NA0303","Sierra Madre Oriental pine-oak forests","Nearctic","Tropical and Subtropical Coniferous Forests"
"IM0304","Sumatran tropical pine forests","Indo-Malay","Tropical and Subtropical Coniferous Forests"
"PA0435","Rodope montane mixed forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"PA0434","Qin Ling Mountains deciduous forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"PA0433","Pyrenees conifer and mixed forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"PA0432","Po Basin mixed forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"IM0402","Northern Triangle temperate forests","Indo-Malay","Temperate Broadleaf and Mixed Forests"
"NA0407","Eastern Great Lakes lowland forests","Nearctic","Temperate Broadleaf and Mixed Forests"
"PA0431","Pannonian mixed forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"PA0437","Sichuan Basin evergreen broadleaf forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"NA0405","East Central Texas forests","Nearctic","Temperate Broadleaf and Mixed Forests"
"NA0401","Allegheny Highlands forests","Nearctic","Temperate Broadleaf and Mixed Forests"
"PA0436","Sarmatic mixed forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"NT0404","Valdivian temperate forests","Neotropical","Temperate Broadleaf and Mixed Forests"
"NT0401","Juan Fernßndez Islands temperate forests","Neotropical","Temperate Broadleaf and Mixed Forests"
"AA0409","Southeast Australia temperate forests","Australasia","Temperate Broadleaf and Mixed Forests"
"NA0402","Appalachian mixed mesophytic forests","Nearctic","Temperate Broadleaf and Mixed Forests"
"NA0403","Appalachian-Blue Ridge forests","Nearctic","Temperate Broadleaf and Mixed Forests"
"PA0444","Western Siberian hemiboreal forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"NA0409","Mississippi lowland forests","Nearctic","Temperate Broadleaf and Mixed Forests"
"NA0406","Eastern forest-boreal transition","Nearctic","Temperate Broadleaf and Mixed Forests"
"PA0438","South Sakhalin-Kurile mixed forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"NA0404","Central U.S. hardwood forests","Nearctic","Temperate Broadleaf and Mixed Forests"
"PA0430","Northeast China Plain deciduous forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"PA0443","Ussuri broadleaf and mixed forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"IM0401","Eastern Himalayan broadleaf forests","Indo-Malay","Temperate Broadleaf and Mixed Forests"
"PA0446","Zagros Mountains forest steppe","Palaearctic","Temperate Broadleaf and Mixed Forests"
"AA0408","Richmond temperate forests","Australasia","Temperate Broadleaf and Mixed Forests"
"AA0410","Southland temperate forests","Australasia","Temperate Broadleaf and Mixed Forests"
"IM0403","Western Himalayan broadleaf forests","Indo-Malay","Temperate Broadleaf and Mixed Forests"
"NA0408","Gulf of St. Lawrence lowland forests","Nearctic","Temperate Broadleaf and Mixed Forests"
"PA0439","Southern Korea evergreen forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"AA0401","Chatham Island temperate forests","Australasia","Temperate Broadleaf and Mixed Forests"
"AA0413","Tasmanian temperate rain forests","Australasia","Temperate Broadleaf and Mixed Forests"
"NA0411","Northeastern coastal forests","Nearctic","Temperate Broadleaf and Mixed Forests"
"PA0442","Tarim Basin deciduous forests and steppe","Palaearctic","Temperate Broadleaf and Mixed Forests"
"PA0429","North Atlantic moist mixed forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"AA0406","Northland temperate kauri forests","Australasia","Temperate Broadleaf and Mixed Forests"
"PA0445","Western European broadleaf forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"AA0407","Rakiura Island temperate forests","Australasia","Temperate Broadleaf and Mixed Forests"
"PA0403","Azores temperate mixed forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"PA0405","Baltic mixed forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"AA0411","Tasmanian Central Highland forests","Australasia","Temperate Broadleaf and Mixed Forests"
"AA0412","Tasmanian temperate forests","Australasia","Temperate Broadleaf and Mixed Forests"
"AA0414","Westland temperate forests","Australasia","Temperate Broadleaf and Mixed Forests"
"PA0412","Central European mixed forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"NA0410","New England-Acadian forests","Nearctic","Temperate Broadleaf and Mixed Forests"
"PA0427","Nihonkai evergreen forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"PA0428","Nihonkai montane deciduous forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"AA0404","Nelson Coast temperate forests","Australasia","Temperate Broadleaf and Mixed Forests"
"AA0405","North Island temperate forests","Australasia","Temperate Broadleaf and Mixed Forests"
"PA0402","Atlantic mixed forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"NA0413","Southeastern mixed forests","Nearctic","Temperate Broadleaf and Mixed Forests"
"NA0414","Southern Great Lakes forests","Nearctic","Temperate Broadleaf and Mixed Forests"
"PA0404","Balkan mixed forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"PA0406","Cantabrian mixed forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"PA0407","Caspian Hyrcanian mixed forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"PA0408","Caucasus mixed forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"PA0410","Central Anatolian deciduous forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"PA0411","Central China loess plateau mixed forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"PA0440","Taiheiyo evergreen forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"NT0402","Magellanic subpolar forests","Neotropical","Temperate Broadleaf and Mixed Forests"
"PA0414","Changbai Mountains mixed forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"NA0412","Ozark Mountain forests","Nearctic","Temperate Broadleaf and Mixed Forests"
"PA0401","Appenine deciduous montane forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"NA0417","Willamette Valley forests","Nearctic","Temperate Broadleaf and Mixed Forests"
"PA0416","Crimean Submediterranean forest complex","Palaearctic","Temperate Broadleaf and Mixed Forests"
"NA0415","Upper Midwest forest-savanna transition","Nearctic","Temperate Broadleaf and Mixed Forests"
"NA0416","Western Great Lakes forests","Nearctic","Temperate Broadleaf and Mixed Forests"
"PA0426","Manchurian mixed forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"PA0423","Hokkaido deciduous forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"PA0424","Huang He Plain mixed forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"PA0425","Madeira evergreen forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"PA0415","Changjiang Plain evergreen forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"PA0413","Central Korean deciduous forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"AA0402","Eastern Australian temperate forests","Australasia","Temperate Broadleaf and Mixed Forests"
"PA0441","Taiheiyo montane deciduous forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"PA0418","Dinaric Mountains mixed forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"PA0419","East European forest steppe","Palaearctic","Temperate Broadleaf and Mixed Forests"
"PA0421","English Lowlands beech forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"PA0417","Daba Mountains evergreen forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"PA0409","Celtic broadleaf forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"AA0403","Fiordland temperate forests","Australasia","Temperate Broadleaf and Mixed Forests"
"PA0422","Euxine-Colchic broadleaf forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"PA0420","Eastern Anatolian deciduous forests","Palaearctic","Temperate Broadleaf and Mixed Forests"
"NA0502","Alberta-British Columbia foothills forests","Nearctic","Temperate Coniferous Forests"
"NA0503","Arizona Mountains forests","Nearctic","Temperate Coniferous Forests"
"NA0514","Fraser Plateau and Basin complex","Nearctic","Temperate Coniferous Forests"
"NA0501","Alberta Mountain forests","Nearctic","Temperate Coniferous Forests"
"NA0515","Great Basin montane forests","Nearctic","Temperate Coniferous Forests"
"NA0516","Klamath-Siskiyou forests","Nearctic","Temperate Coniferous Forests"
"NA0517","Middle Atlantic coastal forests","Nearctic","Temperate Coniferous Forests"
"NA0504","Atlantic coastal pine barrens","Nearctic","Temperate Coniferous Forests"
"NA0505","Blue Mountains forests","Nearctic","Temperate Coniferous Forests"
"NA0506","British Columbia mainland coastal forests","Nearctic","Temperate Coniferous Forests"
"NA0507","Cascade Mountains leeward forests","Nearctic","Temperate Coniferous Forests"
"NA0512","Eastern Cascades forests","Nearctic","Temperate Coniferous Forests"
"NA0513","Florida sand pine scrub","Nearctic","Temperate Coniferous Forests"
"NA0527","Sierra Nevada forests","Nearctic","Temperate Coniferous Forests"
"NA0528","South Central Rockies forests","Nearctic","Temperate Coniferous Forests"
"NA0529","Southeastern conifer forests","Nearctic","Temperate Coniferous Forests"
"NA0530","Wasatch and Uinta montane forests","Nearctic","Temperate Coniferous Forests"
"PA0505","Da Hinggan-Dzhagdy Mountains conifer forests","Palaearctic","Temperate Coniferous Forests"
"PA0506","East Afghan montane conifer forests","Palaearctic","Temperate Coniferous Forests"
"PA0507","Elburz Range forest steppe","Palaearctic","Temperate Coniferous Forests"
"PA0508","Helanshan montane conifer forests","Palaearctic","Temperate Coniferous Forests"
"PA0509","Hengduan Mountains subalpine conifer forests","Palaearctic","Temperate Coniferous Forests"
"PA0510","Hokkaido montane conifer forests","Palaearctic","Temperate Coniferous Forests"
"PA0511","Honshu alpine conifer forests","Palaearctic","Temperate Coniferous Forests"
"PA0512","Khangai Mountains conifer forests","Palaearctic","Temperate Coniferous Forests"
"PA0513","Mediterranean conifer and mixed forests","Palaearctic","Temperate Coniferous Forests"
"PA0514","Northeastern Himalayan subalpine conifer forests","Palaearctic","Temperate Coniferous Forests"
"PA0515","Northern Anatolian conifer and deciduous forests","Palaearctic","Temperate Coniferous Forests"
"PA0516","Nujiang Langcang Gorge alpine conifer and mixed forests","Palaearctic","Temperate Coniferous Forests"
"PA0517","Qilian Mountains conifer forests","Palaearctic","Temperate Coniferous Forests"
"PA0518","Qionglai-Minshan conifer forests","Palaearctic","Temperate Coniferous Forests"
"PA0519","Sayan montane conifer forests","Palaearctic","Temperate Coniferous Forests"
"PA0520","Scandinavian coastal conifer forests","Palaearctic","Temperate Coniferous Forests"
"PA0521","Tian Shan montane conifer forests","Palaearctic","Temperate Coniferous Forests"
"NA0508","Central and Southern Cascades forests","Nearctic","Temperate Coniferous Forests"
"NA0509","Central British Columbia Mountain forests","Nearctic","Temperate Coniferous Forests"
"NA0510","Central Pacific coastal forests","Nearctic","Temperate Coniferous Forests"
"NA0511","Colorado Rockies forests","Nearctic","Temperate Coniferous Forests"
"IM0501","Eastern Himalayan subalpine conifer forests","Indo-Malay","Temperate Coniferous Forests"
"IM0502","Western Himalayan subalpine conifer forests","Indo-Malay","Temperate Coniferous Forests"
"PA0501","Alps conifer and mixed forests","Palaearctic","Temperate Coniferous Forests"
"PA0502","Altai montane forest and forest steppe","Palaearctic","Temperate Coniferous Forests"
"PA0503","Caledon conifer forests","Palaearctic","Temperate Coniferous Forests"
"PA0504","Carpathian montane forests","Palaearctic","Temperate Coniferous Forests"
"NA0518","North Central Rockies forests","Nearctic","Temperate Coniferous Forests"
"NA0519","Northern California coastal forests","Nearctic","Temperate Coniferous Forests"
"NA0520","Northern Pacific coastal forests","Nearctic","Temperate Coniferous Forests"
"NA0521","Northern transitional alpine forests","Nearctic","Temperate Coniferous Forests"
"NA0522","Okanagan dry forests","Nearctic","Temperate Coniferous Forests"
"NA0523","Piney Woods forests","Nearctic","Temperate Coniferous Forests"
"NA0524","Puget lowland forests","Nearctic","Temperate Coniferous Forests"
"NA0525","Queen Charlotte Islands","Nearctic","Temperate Coniferous Forests"
"NA0526","Sierra Juarez and San Pedro Martir pine-oak forests","Nearctic","Temperate Coniferous Forests"
"PA0608","Scandinavian and Russian taiga","Palaearctic","Boreal Forests/Taiga"
"PA0609","Trans-Baikal conifer forests","Palaearctic","Boreal Forests/Taiga"
"PA0610","Ural montane forests and tundra","Palaearctic","Boreal Forests/Taiga"
"PA0611","West Siberian taiga","Palaearctic","Boreal Forests/Taiga"
"NA0601","Alaska Peninsula montane taiga","Nearctic","Boreal Forests/Taiga"
"NA0602","Central Canadian Shield forests","Nearctic","Boreal Forests/Taiga"
"NA0603","Cook Inlet taiga","Nearctic","Boreal Forests/Taiga"
"NA0604","Copper Plateau taiga","Nearctic","Boreal Forests/Taiga"
"NA0605","Eastern Canadian forests","Nearctic","Boreal Forests/Taiga"
"NA0606","Eastern Canadian Shield taiga","Nearctic","Boreal Forests/Taiga"
"NA0607","Interior Alaska-Yukon lowland taiga","Nearctic","Boreal Forests/Taiga"
"NA0608","Mid-Continental Canadian forests","Nearctic","Boreal Forests/Taiga"
"NA0609","Midwestern Canadian Shield forests","Nearctic","Boreal Forests/Taiga"
"NA0610","Muskwa-Slave Lake forests","Nearctic","Boreal Forests/Taiga"
"NA0611","Newfoundland Highland forests","Nearctic","Boreal Forests/Taiga"
"NA0612","Northern Canadian Shield taiga","Nearctic","Boreal Forests/Taiga"
"NA0613","Northern Cordillera forests","Nearctic","Boreal Forests/Taiga"
"NA0614","Northwest Territories taiga","Nearctic","Boreal Forests/Taiga"
"NA0615","South Avalon-Burin oceanic barrens","Nearctic","Boreal Forests/Taiga"
"NA0616","Southern Hudson Bay taiga","Nearctic","Boreal Forests/Taiga"
"NA0617","Yukon Interior dry forests","Nearctic","Boreal Forests/Taiga"
"PA0601","East Siberian taiga","Palaearctic","Boreal Forests/Taiga"
"PA0602","Iceland boreal birch forests and alpine tundra","Palaearctic","Boreal Forests/Taiga"
"PA0603","Kamchatka-Kurile meadows and sparse forests","Palaearctic","Boreal Forests/Taiga"
"PA0604","Kamchatka-Kurile taiga","Palaearctic","Boreal Forests/Taiga"
"PA0605","Northeast Siberian taiga","Palaearctic","Boreal Forests/Taiga"
"PA0606","Okhotsk-Manchurian taiga","Palaearctic","Boreal Forests/Taiga"
"PA0607","Sakhalin Island taiga","Palaearctic","Boreal Forests/Taiga"
"AT0708","Itigi-Sumbu thicket","Afrotropics","Tropical and subtropical grasslands, savannas, and shrublands"
"AT0704","Central Zambezian Miombo woodlands","Afrotropics","Tropical and subtropical grasslands, savannas, and shrublands"
"AT0702","Angolan Mopane woodlands","Afrotropics","Tropical and subtropical grasslands, savannas, and shrublands"
"OC0703","Northwestern Hawaii scrub","Oceania","Tropical and subtropical grasslands, savannas, and shrublands"
"AA0708","Trans Fly savanna and grasslands","Australasia","Tropical and subtropical grasslands, savannas, and shrublands"
"AA0702","Brigalow tropical savanna","Australasia","Tropical and subtropical grasslands, savannas, and shrublands"
"AT0701","Angolan Miombo woodlands","Afrotropics","Tropical and subtropical grasslands, savannas, and shrublands"
"NA0701","Western Gulf Coastal grasslands","Nearctic","Tropical and subtropical grasslands, savannas, and shrublands"
"AT0707","Guinean forest-savanna mosaic","Afrotropics","Tropical and subtropical grasslands, savannas, and shrublands"
"AT0706","Eastern Miombo woodlands","Afrotropics","Tropical and subtropical grasslands, savannas, and shrublands"
"OC0701","Hawaii tropical high shrublands","Oceania","Tropical and subtropical grasslands, savannas, and shrublands"
"AT0705","East Sudanian savanna","Afrotropics","Tropical and subtropical grasslands, savannas, and shrublands"
"AT0709","Kalahari Acacia-Baikiaea woodlands","Afrotropics","Tropical and subtropical grasslands, savannas, and shrublands"
"AT0710","Mandara Plateau mosaic","Afrotropics","Tropical and subtropical grasslands, savannas, and shrublands"
"OC0702","Hawaii tropical low shrublands","Oceania","Tropical and subtropical grasslands, savannas, and shrublands"
"AA0701","Arnhem Land tropical savanna","Australasia","Tropical and subtropical grasslands, savannas, and shrublands"
"AA0707","Mitchell grass downs","Australasia","Tropical and subtropical grasslands, savannas, and shrublands"
"AT0711","Northern Acacia-Commiphora bushlands and thickets","Afrotropics","Tropical and subtropical grasslands, savannas, and shrublands"
"AT0703","Ascension scrub and grasslands","Afrotropics","Tropical and subtropical grasslands, savannas, and shrublands"
"AT0715","Somali Acacia-Commiphora bushlands and thickets","Afrotropics","Tropical and subtropical grasslands, savannas, and shrublands"
"AT0714","Serengeti volcanic grasslands","Afrotropics","Tropical and subtropical grasslands, savannas, and shrublands"
"NT0702","Beni savanna","Neotropical","Tropical and subtropical grasslands, savannas, and shrublands"
"AT0718","Southern Congolian forest-savanna mosaic","Afrotropics","Tropical and subtropical grasslands, savannas, and shrublands"
"IM0701","Terai-Duar savanna and grasslands","Indo-Malay","Tropical and subtropical grasslands, savannas, and shrublands"
"AT0720","St. Helena scrub and woodlands","Afrotropics","Tropical and subtropical grasslands, savannas, and shrublands"
"AA0703","Cape York Peninsula tropical savanna","Australasia","Tropical and subtropical grasslands, savannas, and shrublands"
"NT0708","Humid Chaco","Neotropical","Tropical and subtropical grasslands, savannas, and shrublands"
"AA0705","Einasleigh upland savanna","Australasia","Tropical and subtropical grasslands, savannas, and shrublands"
"NT0710","Uruguayan savanna","Neotropical","Tropical and subtropical grasslands, savannas, and shrublands"
"AT0722","West Sudanian savanna","Afrotropics","Tropical and subtropical grasslands, savannas, and shrublands"
"AT0723","Western Congolian forest-savanna mosaic","Afrotropics","Tropical and subtropical grasslands, savannas, and shrublands"
"AT0724","Western Zambezian grasslands","Afrotropics","Tropical and subtropical grasslands, savannas, and shrublands"
"AT0713","Sahelian Acacia savanna","Afrotropics","Tropical and subtropical grasslands, savannas, and shrublands"
"AT0712","Northern Congolian forest-savanna mosaic","Afrotropics","Tropical and subtropical grasslands, savannas, and shrublands"
"AA0709","Victoria Plains tropical savanna","Australasia","Tropical and subtropical grasslands, savannas, and shrublands"
"AT0716","Southern Acacia-Commiphora bushlands and thickets","Afrotropics","Tropical and subtropical grasslands, savannas, and shrublands"
"AT0719","Southern Miombo woodlands","Afrotropics","Tropical and subtropical grasslands, savannas, and shrublands"
"NT0705","Clipperton Island shrub and grasslands","Neotropical","Tropical and subtropical grasslands, savannas, and shrublands"
"NT0707","Guianan savanna","Neotropical","Tropical and subtropical grasslands, savannas, and shrublands"
"NT0704","Cerrado","Neotropical","Tropical and subtropical grasslands, savannas, and shrublands"
"AA0704","Carpentaria tropical savanna","Australasia","Tropical and subtropical grasslands, savannas, and shrublands"
"NT0709","Llanos","Neotropical","Tropical and subtropical grasslands, savannas, and shrublands"
"AT0721","Victoria Basin forest-savanna mosaic","Afrotropics","Tropical and subtropical grasslands, savannas, and shrublands"
"AA0706","Kimberly tropical savanna","Australasia","Tropical and subtropical grasslands, savannas, and shrublands"
